Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
Unemployed,18-24,Bachelor's, Fintech,Delhi,HIGH,,18100,2/14/2025
unemployed,55+,Bachelor's,,urban,moderate,,28200,2/15/2025
employed,55+,Bachelor's,Healthcare,Hyderabad,Low,18,143100,2/16/2025
Unemployed,25_34,Bachelors,Healthcare,Delhi,Low,25,,2/17/2025
Unemployed,25_34,Bachelor's,Finance,Urban,moderate,,30000,2/18/2025
Employed,45-54,Bachelors,Finance,,Low,,114700,2/19/2025
Employed,,PhD,Tech ,Mumbai,,20,78000,2/20/2025
UNEMPLOYED,55+,High School,,Hyderabad,moderate,12,97400,2/21/2025
Unemployed,25_34,Ph.D,Healthcare,,low,,90000,2/22/2025
EMPLOYED,,Bachelors, Fintech,Delhi,HIGH,18,71400,2/23/2025
,45-54,high school,Retail,Hyderabad,Medium,,59600,2/24/2025
Unemployed,25_34,Bachelors,Healthcare,Mumbai,,,137900,2/25/2025
employed,25_34,Diploma,Finance,Hyderabad,High,,85600,2/26/2025
employed,,,Tech ,Bangalore,low,11,38800,2/27/2025
employed,18-24,Bachelors,Health,Delhi,low,,84400,2/28/2025
EMPLOYED,18 to 24,high school,Finance,,Low,,,3/1/2025
EMPLOYED,35 - 44,Bachelor's, Fintech,,moderate,,38600,3/2/2025
unemployed,18-24,Ph.D, Fintech,Mumbai,Medium,11,105500,3/3/2025
,25-34,Diploma,Healthcare,Mumbai,moderate,,61600,3/4/2025
Unemployed,55+,Diploma,Tech ,Bangalore,moderate,23,77300,3/5/2025
employed,25-34,Ph.D, Fintech,urban,moderate,,144200,3/6/2025
,55+,Diploma,Retail,rural,HIGH,,39800,3/7/2025
EMPLOYED,18-24,Masters,Health,Bangalore,moderate,,33200,3/8/2025
Employed,25-34,High School,Healthcare,Delhi,Medium,,110300,3/9/2025
,25_34,,Finance,Mumbai,HIGH,28,,3/10/2025
,35 - 44,Bachelor's,Healthcare,Delhi,,20,138500,3/11/2025
unemployed,18 to 24,Masters,Healthcare,Urban,Low,,109000,3/12/2025
EMPLOYED,45-54,Diploma,Retail,Hyderabad,Low,,9900,3/13/2025
Employed,45-54,Ph.D,Retail,Mumbai,Low,,,3/14/2025
UNEMPLOYED,55+,Bachelors,Health,suburban,,0,75800,3/15/2025
employed,35 - 44,Bachelors,Technology,Hyderabad,High,14,47300,3/16/2025
,55+,High School,Technology,Urban,High,29,,3/17/2025
employed,45-54,, Fintech,Delhi,,16,142700,3/18/2025
,18-24,Bachelor's,Health,suburban,,,35800,3/19/2025
EMPLOYED,35 - 44,High School,Retail,Delhi,low,,32300,3/20/2025
,25-34,High School,Technology,suburban,HIGH,,51000,3/21/2025
EMPLOYED,18-24,Bachelor's,Technology,urban,HIGH,28,128000,3/22/2025
EMPLOYED,25-34,High School,Finance,Urban,High,20,144700,3/23/2025
EMPLOYED,18-24,,Technology,Delhi,moderate,,89800,3/24/2025
unemployed,,Master, Fintech,urban,High,29,106200,3/25/2025
Employed,45-54,Master,Health,Hyderabad,moderate,,106200,3/26/2025
Unemployed,,,Technology,Mumbai,,,66900,3/27/2025
,18 to 24,high school,Education,,,22,81800,3/28/2025
employed,,PhD,Healthcare,Hyderabad,moderate,,7500,3/29/2025
UNEMPLOYED,25_34,Masters,Retail,Delhi,HIGH,11,86800,3/30/2025
Unemployed,18 to 24,high school,Healthcare,urban,Low,,80800,3/31/2025
,25_34,Masters,Technology,Mumbai,High,,144800,4/1/2025
unemployed,18 to 24,Bachelors,Education,Bangalore,,,45200,4/2/2025
employed,45-54,high school,Education,Delhi,,5,97600,4/3/2025
EMPLOYED,55+,Masters,,Urban,low,,29600,4/4/2025
,55+,,,Hyderabad,Low,20,88600,4/5/2025
Employed,45-54,High School, Fintech,urban,High,24,37100,4/6/2025
,25-34,Bachelor's,Healthcare,rural,Low,,41800,4/7/2025
unemployed,18-24,High School, Fintech,Urban,,,,4/8/2025
Unemployed,45-54,Bachelor's,Healthcare,Bangalore,Low,,,4/9/2025
Employed,,Master,Education,Delhi,,,38100,4/10/2025
EMPLOYED,25_34,Bachelors, Fintech,rural,HIGH,,,4/11/2025
UNEMPLOYED,25-34,High School,Tech ,Delhi,HIGH,29,92200,4/12/2025
EMPLOYED,55+,Masters,Education,Delhi,Medium,14,117100,4/13/2025
,25_34,High School,Health,suburban,High,,,4/14/2025
,18-24,PhD,Education,Urban,High,,78600,4/15/2025
employed,18-24,PhD,,Delhi,moderate,5,111000,4/16/2025
UNEMPLOYED,18-24,Masters,Tech ,,moderate,,82600,4/17/2025
EMPLOYED,35 - 44,High School,Retail,suburban,moderate,,139600,4/18/2025
Employed,25_34,,Education,Mumbai,Low,16,87900,4/19/2025
EMPLOYED,45-54,,Education,Urban,,,24200,4/20/2025
,55+,Ph.D,Education,urban,moderate,,56100,4/21/2025
,18 to 24,high school,Healthcare,Hyderabad,Medium,18,,4/22/2025
UNEMPLOYED,18 to 24,Bachelors,Finance,Hyderabad,Low,24,114400,4/23/2025
UNEMPLOYED,55+,Ph.D,Tech ,Delhi,High,25,139500,4/24/2025
Employed,,Master, Fintech,Urban,Medium,21,102200,4/25/2025
UNEMPLOYED,18 to 24,,Tech ,Mumbai,Medium,,64500,4/26/2025
unemployed,55+,,Technology,Urban,low,,33300,4/27/2025
Employed,55+,high school,Health,,,7,77700,4/28/2025
unemployed,18 to 24,PhD,Finance,Bangalore,,10,22200,4/29/2025
,25-34,Master,Retail,,Low,5,,4/30/2025
UNEMPLOYED,25-34,Master, Fintech,suburban,low,,,5/1/2025
EMPLOYED,18 to 24,,Retail,rural,moderate,,,5/2/2025
,18 to 24,Diploma,Retail,,Low,,103800,5/3/2025
,55+,Bachelors,Finance,,High,,34800,5/4/2025
unemployed,35 - 44,Masters,Education,,HIGH,,,5/5/2025
Employed,18-24,, Fintech,Hyderabad,moderate,14,11900,5/6/2025
UNEMPLOYED,18-24,Masters,Finance,rural,moderate,,94800,5/7/2025
unemployed,25-34,high school,Retail,suburban,moderate,20,113500,5/8/2025
EMPLOYED,25-34,Bachelor's,Health,suburban,low,,43900,5/9/2025
Unemployed,18-24,Bachelors,Technology,Mumbai,low,6,25900,5/10/2025
UNEMPLOYED,25-34,Bachelor's,Healthcare,,,28,110600,5/11/2025
Unemployed,18 to 24,Masters,Finance,suburban,Low,19,121400,5/12/2025
Unemployed,25_34,PhD,Education,Mumbai,low,20,145700,5/13/2025
employed,,PhD,Education,Urban,Medium,,,5/14/2025
unemployed,18 to 24,Masters, Fintech,Urban,Low,1,105700,5/15/2025
Unemployed,25-34,Ph.D,Education,,low,8,42200,5/16/2025
,,Ph.D,Education,Delhi,moderate,,88300,5/17/2025
UNEMPLOYED,25_34,Diploma,Health,Bangalore,moderate,7,68600,5/18/2025
employed,25_34,High School,Retail,suburban,,15,53800,5/19/2025
Employed,55+,Diploma,Healthcare,Delhi,High,,102000,5/20/2025
Unemployed,55+,,Healthcare,Hyderabad,low,29,37800,5/21/2025
,35 - 44,high school,Finance,rural,low,,,5/22/2025
EMPLOYED,18-24,Bachelors, Fintech,suburban,High,22,120200,5/23/2025
EMPLOYED,45-54,Bachelors, Fintech,Delhi,Low,,28600,5/24/2025
unemployed,35 - 44,high school, Fintech,Mumbai,Low,,105900,5/25/2025
Unemployed,,Ph.D, Fintech,Delhi,low,5,91400,5/26/2025
EMPLOYED,55+,Bachelor's,Education,,,3,80800,5/27/2025
,55+,Bachelor's,Healthcare,Delhi,Low,,43200,5/28/2025
employed,35 - 44,Bachelors,Retail,suburban,low,4,77600,5/29/2025
employed,25_34,High School, Fintech,Bangalore,High,,94100,5/30/2025
employed,25_34,High School,Health,Delhi,HIGH,,6400,5/31/2025
unemployed,25-34,Bachelor's,,urban,HIGH,,46400,6/1/2025
UNEMPLOYED,25-34,Ph.D,Technology,rural,low,4,145700,6/2/2025
Unemployed,45-54,,Healthcare,Delhi,Low,,56000,6/3/2025
Employed,45-54,high school,,Mumbai,Medium,,73500,6/4/2025
Unemployed,35 - 44,Master,Finance,Urban,low,26,108400,6/5/2025
EMPLOYED,25-34,,,Urban,moderate,7,79300,6/6/2025
Unemployed,45-54,Bachelor's,,,Medium,,35900,6/7/2025
employed,18 to 24,,Healthcare,rural,,,,6/8/2025
EMPLOYED,,Bachelor's,Health,urban,Medium,,69700,6/9/2025
Unemployed,18 to 24,high school,Finance,suburban,low,10,24700,6/10/2025
UNEMPLOYED,,Ph.D,Tech ,rural,High,,9700,6/11/2025
employed,35 - 44,,Health,Bangalore,,,,6/12/2025
EMPLOYED,35 - 44,High School,Retail,Hyderabad,HIGH,,,6/13/2025
UNEMPLOYED,55+,Masters,Retail,Bangalore,High,,117800,6/14/2025
,45-54,Master,Technology,Urban,moderate,,145700,6/15/2025
unemployed,55+,Masters,Healthcare,suburban,low,20,25000,6/16/2025
UNEMPLOYED,45-54,Masters, Fintech,Bangalore,moderate,8,43400,6/17/2025
Unemployed,25_34,Diploma,Retail,Mumbai,Low,,121600,6/18/2025
Employed,25_34,Diploma,Healthcare,,Medium,,82400,6/19/2025
EMPLOYED,25-34,, Fintech,urban,low,,16200,6/20/2025
Employed,45-54,,Finance,suburban,,26,,6/21/2025
UNEMPLOYED,18 to 24,,Finance,suburban,,19,71300,6/22/2025
UNEMPLOYED,55+,Masters,Retail,suburban,Low,,87600,6/23/2025
employed,,PhD, Fintech,Bangalore,low,,122900,6/24/2025
unemployed,45-54,PhD,Healthcare,,HIGH,,102100,6/25/2025
,45-54,Bachelor's, Fintech,Bangalore,Medium,13,,6/26/2025
EMPLOYED,25_34,Ph.D,Finance,rural,moderate,,,6/27/2025
EMPLOYED,55+,High School,,Urban,,,107900,6/28/2025
UNEMPLOYED,25-34,Masters,Retail,,,,25100,6/29/2025
EMPLOYED,25-34,,Health,Bangalore,moderate,,,6/30/2025
Unemployed,18 to 24,Masters, Fintech,Hyderabad,low,,43700,7/1/2025
,25_34,Diploma,Tech ,Urban,low,,70600,7/2/2025
,35 - 44,Diploma,Health,urban,Medium,,137900,7/3/2025
employed,25-34,Diploma,Finance,Bangalore,High,21,39700,7/4/2025
unemployed,55+,Diploma,Healthcare,Hyderabad,low,,22900,7/5/2025
EMPLOYED,18-24,Masters,Finance,rural,High,,6400,7/6/2025
Employed,35 - 44,Ph.D,Retail,suburban,High,,60700,7/7/2025
Employed,45-54,Masters,Finance,urban,,,,7/8/2025
,55+,Bachelors,Education,,HIGH,,,7/9/2025
EMPLOYED,45-54,Ph.D,Health,Delhi,Medium,10,146200,7/10/2025
UNEMPLOYED,18 to 24,Bachelor's,Retail,Mumbai,High,9,,7/11/2025
EMPLOYED,25-34,high school,Retail,Urban,Medium,21,28100,7/12/2025
UNEMPLOYED,55+,, Fintech,Hyderabad,moderate,,142800,7/13/2025
employed,25-34,Bachelor's,Retail,,Medium,,107400,7/14/2025
Employed,45-54,Bachelor's, Fintech,Delhi,,9,52600,7/15/2025
Employed,45-54,Bachelors, Fintech,Mumbai,moderate,12,32900,7/16/2025
Employed,55+,Masters,,Hyderabad,Low,,,7/17/2025
Unemployed,25-34,high school,Technology,Mumbai,Low,,,7/18/2025
Unemployed,35 - 44,Bachelor's,Education,urban,moderate,20,78600,7/19/2025
unemployed,55+,,Retail,Delhi,High,27,47600,7/20/2025
employed,35 - 44,PhD,Technology,suburban,,,56200,7/21/2025
Employed,35 - 44,Bachelors,Retail,suburban,HIGH,,56700,7/22/2025
unemployed,25_34,PhD,Retail,rural,Low,,18300,7/23/2025
Unemployed,35 - 44,Bachelors,Retail,,HIGH,,124400,7/24/2025
,35 - 44,PhD,Finance,Urban,,2,41900,7/25/2025
Unemployed,,PhD,Healthcare,Delhi,HIGH,7,26100,7/26/2025
UNEMPLOYED,35 - 44,Ph.D,Retail,Bangalore,Medium,,41800,7/27/2025
EMPLOYED,35 - 44,Diploma,,rural,High,,141200,7/28/2025
Employed,25-34,High School,,Delhi,Low,,132100,7/29/2025
EMPLOYED,45-54,PhD, Fintech,Hyderabad,Low,26,110600,7/30/2025
UNEMPLOYED,18 to 24,Bachelor's,Retail,Bangalore,,,94400,7/31/2025
unemployed,,,Health,urban,Medium,30,81600,8/1/2025
Employed,18 to 24,,Finance,Mumbai,HIGH,8,115800,8/2/2025
employed,25_34,Bachelors,Healthcare,Delhi,moderate,,125000,8/3/2025
Employed,55+,Masters,Healthcare,Hyderabad,low,,145400,8/4/2025
employed,18 to 24,High School,Health,Bangalore,Low,5,108300,8/5/2025
unemployed,25_34,High School,Tech ,Mumbai,low,30,64500,8/6/2025
Unemployed,18-24,PhD,Retail,urban,Low,17,71300,8/7/2025
UNEMPLOYED,55+,PhD,Tech ,urban,High,,69400,8/8/2025
EMPLOYED,35 - 44,Master, Fintech,Hyderabad,Medium,,92500,8/9/2025
UNEMPLOYED,18-24,high school, Fintech,suburban,,6,135000,8/10/2025
EMPLOYED,35 - 44,high school,,Urban,High,,36300,8/11/2025
EMPLOYED,18-24,Masters,Healthcare,Mumbai,Medium,23,98700,8/12/2025
Employed,45-54,High School, Fintech,rural,moderate,,67400,8/13/2025
,25-34,Ph.D,Technology,Delhi,Low,20,115700,8/14/2025
Unemployed,18-24,Diploma,Retail,Mumbai,Low,17,12400,8/15/2025
Unemployed,18-24,Bachelor's,,Mumbai,HIGH,,,8/16/2025
EMPLOYED,55+,Masters,Retail,suburban,,,,8/17/2025
,18-24,High School,Retail,urban,High,1,90000,8/18/2025
Unemployed,25-34,Masters,,suburban,Medium,21,60800,8/19/2025
UNEMPLOYED,18-24,Master, Fintech,Bangalore,,,55300,8/20/2025
Unemployed,25-34,,Healthcare,,moderate,6,18000,8/21/2025
unemployed,25_34,Ph.D,Healthcare,urban,High,2,13100,8/22/2025
Unemployed,25_34,Bachelor's,Healthcare,Urban,Low,,114700,8/23/2025
Employed,,PhD,Education,Hyderabad,Medium,,57300,8/24/2025
UNEMPLOYED,25_34,Masters,,rural,Low,,122000,8/25/2025
EMPLOYED,18 to 24,Diploma,Retail,suburban,HIGH,,7900,8/26/2025
,,Diploma,Healthcare,,low,0,,8/27/2025
unemployed,25-34,Ph.D,Health,rural,Low,20,118600,8/28/2025
Unemployed,55+,high school,Healthcare,urban,Low,9,,8/29/2025
UNEMPLOYED,25-34,Bachelor's,Finance,Mumbai,Low,,72200,8/30/2025
unemployed,25-34,Bachelors,Education,Mumbai,,26,35500,8/31/2025
Unemployed,18 to 24,Ph.D,Health,Urban,High,,129300,9/1/2025
Employed,55+,Diploma,Retail,Delhi,moderate,,126500,9/2/2025
employed,25-34,Masters,Healthcare,rural,Low,,36900,9/3/2025
employed,35 - 44,Bachelor's,Retail,,low,2,,9/4/2025
Unemployed,18 to 24,Bachelors,Healthcare,urban,,,47100,9/5/2025
,45-54,Masters,Tech ,Urban,Medium,,,9/6/2025
,18 to 24,Ph.D,Technology,Delhi,HIGH,2,10800,9/7/2025
Unemployed,18-24,high school,Technology,Mumbai,Medium,10,89900,9/8/2025
EMPLOYED,18-24,Bachelor's,Education,Hyderabad,HIGH,,147900,9/9/2025
unemployed,,Master, Fintech,suburban,moderate,19,,9/10/2025
Unemployed,45-54,Ph.D,Tech ,Delhi,High,9,32300,9/11/2025
employed,55+,Ph.D,Education,Urban,HIGH,,66800,9/12/2025
unemployed,25_34,Diploma,Retail,rural,Low,28,70600,9/13/2025
UNEMPLOYED,35 - 44,High School,Education,Delhi,,13,138600,9/14/2025
Employed,35 - 44,Ph.D,Retail,Bangalore,HIGH,,51800,9/15/2025
EMPLOYED,25-34,Masters,Healthcare,Bangalore,moderate,,119000,9/16/2025
employed,18-24,high school,Healthcare,Urban,Low,,8100,9/17/2025
,18 to 24,Ph.D,Health,Mumbai,Medium,5,112300,9/18/2025
employed,18 to 24,High School,Retail,rural,,14,33700,9/19/2025
,,Ph.D,Education,,low,,67300,9/20/2025
unemployed,55+,Masters,Retail,,Medium,11,107800,9/21/2025
unemployed,25-34,Bachelors,Education,rural,low,25,137200,9/22/2025
Unemployed,25_34,, Fintech,Bangalore,Medium,10,148600,9/23/2025
employed,,Diploma,Healthcare,suburban,,25,88500,9/24/2025
employed,18 to 24,Ph.D,Finance,Mumbai,Medium,0,133700,9/25/2025
unemployed,55+,Ph.D,Education,rural,Medium,,112100,9/26/2025
unemployed,45-54,Diploma, Fintech,suburban,High,,115500,9/27/2025
employed,18 to 24,PhD,Technology,Urban,low,30,122500,9/28/2025
UNEMPLOYED,18-24,High School,Education,suburban,HIGH,,,9/29/2025
UNEMPLOYED,18-24,Master,Retail,Urban,High,7,,9/30/2025
employed,18 to 24,high school,Finance,Bangalore,,,137700,10/1/2025
Employed,,,Education,Urban,Low,,23600,10/2/2025
unemployed,18 to 24,high school,Retail,Urban,High,,114600,10/3/2025
UNEMPLOYED,25-34,Bachelor's,Healthcare,Hyderabad,Medium,,145500,10/4/2025
UNEMPLOYED,18 to 24,High School, Fintech,suburban,Low,,65700,10/5/2025
Employed,25-34,Master,Education,Delhi,Medium,,,10/6/2025
EMPLOYED,18-24,Bachelors,Retail,suburban,HIGH,,123700,10/7/2025
unemployed,45-54,High School,Retail,suburban,,25,140300,10/8/2025
Employed,18 to 24,,Healthcare,suburban,,,42400,10/9/2025
unemployed,25-34,,,rural,low,,,10/10/2025
employed,35 - 44,Ph.D,Technology,,Medium,,141100,10/11/2025
employed,25-34,Diploma,Education,Bangalore,,17,43000,10/12/2025
UNEMPLOYED,18-24,Bachelor's,,Bangalore,High,,,10/13/2025
Unemployed,18 to 24,Masters, Fintech,rural,High,,44500,10/14/2025
UNEMPLOYED,25_34,PhD,Health,urban,High,,107300,10/15/2025
unemployed,25_34,Diploma, Fintech,urban,Low,,110800,10/16/2025
,25-34,Master,Finance,Mumbai,moderate,,70000,10/17/2025
Employed,25_34,Bachelors,Health,Delhi,moderate,,132300,10/18/2025
,55+,Masters,Education,rural,High,15,109400,10/19/2025
Employed,25-34,High School,Finance,Delhi,moderate,16,122400,10/20/2025
,45-54,,,Hyderabad,Low,,90400,10/21/2025
,25_34,Bachelors,,Mumbai,High,22,142400,10/22/2025
unemployed,,Bachelor's,Healthcare,Delhi,low,24,148100,10/23/2025
unemployed,35 - 44,Ph.D,,rural,High,26,12500,10/24/2025
UNEMPLOYED,25-34,Master,Healthcare,Delhi,moderate,8,16300,10/25/2025
Unemployed,45-54,Masters,Healthcare,suburban,low,,,10/26/2025
employed,55+,Bachelor's,Retail,Mumbai,High,,46400,10/27/2025
UNEMPLOYED,55+,Diploma,Health,suburban,High,24,59800,10/28/2025
unemployed,45-54,Ph.D,Finance,rural,,,,10/29/2025
UNEMPLOYED,45-54,Diploma,Retail,Delhi,low,,58600,10/30/2025
Unemployed,35 - 44,Bachelors,Finance,Bangalore,,,142000,10/31/2025
unemployed,45-54,PhD,Technology,,HIGH,,58300,11/1/2025
employed,55+,PhD,Retail,urban,moderate,,126700,11/2/2025
,35 - 44,Ph.D,,Bangalore,,1,85500,11/3/2025
Unemployed,45-54,Masters,Healthcare,Hyderabad,low,23,116900,11/4/2025
,25_34,high school,,urban,Medium,28,115300,11/5/2025
employed,45-54,High School,Health,suburban,moderate,,10300,11/6/2025
Employed,18 to 24,high school,Retail,Bangalore,,,55500,11/7/2025
,55+,Bachelor's,Retail,Bangalore,low,26,105500,11/8/2025
Employed,35 - 44,PhD,,urban,HIGH,19,,11/9/2025
unemployed,45-54,,Retail,,Low,,,11/10/2025
,25_34,high school,Healthcare,suburban,HIGH,13,120700,11/11/2025
,18-24,Diploma,Retail,Bangalore,moderate,2,28100,11/12/2025
Employed,,Masters,Technology,Urban,HIGH,8,105800,11/13/2025
Unemployed,45-54,high school,Health,Urban,low,6,63900,11/14/2025
Employed,25_34,Masters,Retail,urban,Low,3,,11/15/2025
,25_34,,Technology,Delhi,moderate,20,37300,11/16/2025
UNEMPLOYED,55+,Master,Health,Mumbai,low,25,,11/17/2025
UNEMPLOYED,25_34,Bachelor's,Technology,Hyderabad,HIGH,4,103700,11/18/2025
employed,18-24,PhD,Retail,Bangalore,HIGH,,89400,11/19/2025
unemployed,55+,Master,Healthcare,urban,Low,21,102000,11/20/2025
Unemployed,,High School,Retail,urban,Medium,3,5500,11/21/2025
Employed,35 - 44,Diploma,Technology,rural,Low,,28100,11/22/2025
unemployed,35 - 44,Master,Retail,,HIGH,,132100,11/23/2025
unemployed,45-54,Bachelor's, Fintech,Urban,,,58300,11/24/2025
Employed,,Masters,Healthcare,Urban,High,,88600,11/25/2025
Unemployed,18-24,Master,Retail,Urban,moderate,5,,11/26/2025
unemployed,18 to 24,Master,Healthcare,Urban,Medium,,61700,11/27/2025
Employed,25_34,,Retail,Bangalore,low,26,91000,11/28/2025
UNEMPLOYED,18 to 24,Master,Tech ,Urban,,,133500,11/29/2025
EMPLOYED,55+,Diploma,Healthcare,suburban,HIGH,,137300,11/30/2025
,35 - 44,PhD,Retail,rural,Low,,31300,12/1/2025
Employed,18 to 24,,Health,urban,High,,5100,12/2/2025
unemployed,35 - 44,Diploma,Retail,Hyderabad,HIGH,29,121700,12/3/2025
Employed,18 to 24,Bachelors,Education,Mumbai,low,,53800,12/4/2025
Unemployed,18-24,Bachelors, Fintech,suburban,HIGH,16,17700,12/5/2025
Employed,25-34,high school,Technology,urban,moderate,29,,12/6/2025
,18-24,,,Mumbai,Medium,,7800,12/7/2025
,35 - 44,High School,Healthcare,rural,Low,,125500,12/8/2025
,25_34,Master,Retail,Mumbai,moderate,19,29900,12/9/2025
employed,18-24,Diploma,Finance,urban,HIGH,,,12/10/2025
,45-54,Diploma,Retail,suburban,Medium,,,12/11/2025
,55+,Bachelor's,Healthcare,Bangalore,HIGH,,62500,12/12/2025
UNEMPLOYED,45-54,Masters,Finance,rural,Low,,109900,12/13/2025
employed,18 to 24,Master, Fintech,Bangalore,low,29,37800,12/14/2025
Unemployed,18-24,Masters,Retail,Urban,High,3,53400,12/15/2025
UNEMPLOYED,25-34,high school,Retail,Urban,Medium,25,100600,12/16/2025
,45-54,Bachelors,Tech ,Hyderabad,Medium,,94600,12/17/2025
,18 to 24,PhD,,rural,low,,32500,12/18/2025
unemployed,25_34,Ph.D,Technology,,HIGH,11,,12/19/2025
Unemployed,35 - 44,Diploma,Finance,Bangalore,Medium,2,34200,12/20/2025
,,PhD,Finance,Mumbai,Medium,,7300,12/21/2025
UNEMPLOYED,,Ph.D,Retail,,moderate,,130700,12/22/2025
Employed,35 - 44,Master,Health,Mumbai,Medium,,66100,12/23/2025
,55+,High School,Technology,Bangalore,Low,,48500,12/24/2025
Employed,55+,High School,Health,Urban,Medium,,127100,12/25/2025
employed,18-24,Ph.D,Retail,Bangalore,Medium,9,46700,12/26/2025
Unemployed,25_34,high school,Tech ,rural,,,24400,12/27/2025
UNEMPLOYED,,Masters,Health,,Low,27,29800,12/28/2025
UNEMPLOYED,45-54,Master,Technology,Urban,low,18,41900,12/29/2025
employed,25_34,,Technology,rural,HIGH,20,8800,12/30/2025
Employed,25_34,Master,Tech ,Hyderabad,Low,,,12/31/2025
unemployed,45-54,Masters,Retail,suburban,low,11,39400,1/1/2026
,25-34,High School,Finance,suburban,low,,121700,1/2/2026
Unemployed,25-34,Bachelors,Technology,suburban,Low,28,,1/3/2026
UNEMPLOYED,25_34,Bachelors,Healthcare,Mumbai,low,23,128500,1/4/2026
Employed,25_34,Ph.D,Finance,rural,low,22,48400,1/5/2026
unemployed,,Diploma,Retail,urban,HIGH,23,83500,1/6/2026
UNEMPLOYED,55+,Bachelor's,Retail,Bangalore,Low,,98800,1/7/2026
Employed,45-54,Masters,Retail,Delhi,Low,,34300,1/8/2026
UNEMPLOYED,25-34,high school,Finance,Bangalore,High,,118100,1/9/2026
,,,Tech ,Bangalore,low,23,,1/10/2026
,55+,Ph.D, Fintech,rural,moderate,16,,1/11/2026
EMPLOYED,25-34,PhD,Technology,suburban,moderate,,48400,1/12/2026
UNEMPLOYED,45-54,High School,Retail,,moderate,,96000,1/13/2026
EMPLOYED,25_34,Masters,Retail,Urban,,,79900,1/14/2026
employed,25-34,Master,Finance,urban,HIGH,13,14500,1/15/2026
Employed,25_34,Diploma, Fintech,Mumbai,Medium,16,31900,1/16/2026
,25_34,Ph.D,Retail,urban,High,2,59500,1/17/2026
,35 - 44,High School,Tech ,urban,HIGH,15,,1/18/2026
unemployed,25-34,Master,Retail,Hyderabad,Low,,14100,1/19/2026
unemployed,35 - 44,Bachelors,Technology,Urban,low,23,7600,1/20/2026
unemployed,18-24,Diploma,Healthcare,rural,Medium,13,57500,1/21/2026
,25_34,Bachelors, Fintech,Delhi,Medium,,36900,1/22/2026
employed,18-24,Ph.D,Health,Hyderabad,Low,,130100,1/23/2026
unemployed,18-24,Masters,Tech ,suburban,High,,45200,1/24/2026
UNEMPLOYED,25_34,PhD,,Mumbai,Low,16,93400,1/25/2026
UNEMPLOYED,35 - 44,Diploma,Finance,rural,HIGH,,149900,1/26/2026
employed,35 - 44,High School,Retail,Delhi,HIGH,,47800,1/27/2026
Unemployed,18 to 24,High School, Fintech,Mumbai,low,,76800,1/28/2026
Employed,,Ph.D,Finance,Hyderabad,,21,63800,1/29/2026
employed,25-34,Master, Fintech,Mumbai,,,121900,1/30/2026
employed,45-54,Master,Technology,Mumbai,High,19,75900,1/31/2026
unemployed,18 to 24,Bachelor's,Retail,Hyderabad,Medium,22,82600,2/1/2026
EMPLOYED,45-54,Bachelors,Technology,Bangalore,moderate,26,69200,2/2/2026
Unemployed,25-34,PhD,Health,Hyderabad,High,,128300,2/3/2026
Unemployed,,Ph.D,Health,Mumbai,Low,,148400,2/4/2026
Unemployed,,Diploma,,Urban,Low,,146500,2/5/2026
unemployed,25-34,High School,Health,,moderate,,,2/6/2026
Unemployed,45-54,high school,Healthcare,Hyderabad,,,,2/7/2026
EMPLOYED,25-34,high school,Retail,rural,HIGH,30,78100,2/8/2026
UNEMPLOYED,55+,Diploma,Health,Bangalore,low,22,36800,2/9/2026
Employed,25-34,Ph.D,Tech ,Delhi,High,29,84500,2/10/2026
EMPLOYED,25_34,PhD,Healthcare,urban,High,,100900,2/11/2026
Unemployed,18 to 24,High School,Healthcare,Mumbai,Medium,,,2/12/2026
Unemployed,35 - 44,Bachelors,Tech ,urban,Medium,,13300,2/13/2026
EMPLOYED,18-24,Masters, Fintech,rural,Low,11,65100,2/14/2026
UNEMPLOYED,25_34,Master, Fintech,Hyderabad,Low,,139900,2/15/2026
Employed,25-34,Master,Healthcare,urban,,27,137500,2/16/2026
Unemployed,,Bachelor's,Technology,Hyderabad,High,,79400,2/17/2026
UNEMPLOYED,35 - 44,PhD,Health,,moderate,3,,2/18/2026
,,Bachelors,Finance,Urban,Medium,12,,2/19/2026
Unemployed,35 - 44,,Education,Mumbai,low,,86900,2/20/2026
unemployed,18 to 24,,Health,Delhi,low,,21700,2/21/2026
EMPLOYED,55+,Master,Health,rural,Medium,,,2/22/2026
,45-54,Masters,Retail,Bangalore,moderate,,,2/23/2026
unemployed,,PhD,,Bangalore,Medium,0,79200,2/24/2026
Employed,18-24,Ph.D,Tech ,Hyderabad,low,,62700,2/25/2026
Unemployed,45-54,Bachelor's,Technology,urban,HIGH,,141400,2/26/2026
employed,25_34,Bachelors,,suburban,,,,2/27/2026
unemployed,55+,,Education,Hyderabad,Low,22,44000,2/28/2026
unemployed,55+,Bachelor's,Tech ,rural,High,,,3/1/2026
Unemployed,18-24,Masters,Technology,,low,0,80400,3/2/2026
unemployed,55+,,Finance,Bangalore,,,106300,3/3/2026
employed,18 to 24,Bachelor's,Retail,Delhi,Medium,,120600,3/4/2026
Employed,25-34,,Technology,suburban,Medium,26,38900,3/5/2026
employed,45-54,,Tech ,Bangalore,High,,,3/6/2026
unemployed,55+,Bachelor's,Retail,urban,High,16,53200,3/7/2026
